name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,region,pop_r,pop_r_pct,pop_u_pct,wat_bas_n_calc,pop_without_basic_water,pop_r_without_basic_water,pop_u_without_basic_water,access_category_national,access_category_rural,access_category_urban,rural_urban_gap,has_significant_gap,wat_bas_n_prev_year,yoy_improvement
Namibia,2015,2314.900879,46.90000534,82.52413515,7.275476154,4.416461411,5.783927281,70.14103138,11.72007222,7.614389637,10.52450676,96.54423562,2.243322298,0.7957798889,0.4166621911,Sub-Saharan Africa,2268.00087366,97.97,2.03,70.68,404.55,677.2,1.62,Medium-High,Medium,High,26.4,True,,
Namibia,2020,2540.916016,52.03300095,84.27003628,7.08762751,3.740143722,4.902192485,71.25616743,11.97218925,7.081803759,9.689839563,96.26696535,2.584758965,0.6596102638,0.4886654211,Sub-Saharan Africa,2488.8830150500003,97.95,2.05,71.77,399.69,715.4,1.94,Medium-High,Medium,High,25.01,True,82.52413515,1.75
Niger,2015,20001.66211,16.24699974,45.48245806,16.12883696,34.71956001,3.669144972,37.32994165,17.64359486,40.88848775,4.137975751,87.50853904,8.320286196,2.918844344,1.252330425,Sub-Saharan Africa,19985.41511026,99.92,0.08,37.37,10904.41,12524.87,2.03,Low,Low,Medium-High,50.18,True,,
Niger,2020,24206.63672,16.62599945,46.91179747,21.6538987,27.02751244,4.406791392,39.15415932,23.98774039,31.99150648,4.866593813,85.81383976,9.950440829,2.13468778,2.101031634,Sub-Saharan Africa,24190.01072055,99.93,0.07,39.19,12850.87,14718.62,2.36,Low,Low,Medium-High,46.66,True,45.48245806,1.43
Nigeria,2015,181137.4531,47.83799744,68.77975546,6.713550996,14.73376246,9.772931086,53.492449,7.106440271,23.1071601,16.29395062,85.44885832,6.285149056,5.603506118,2.662486501,Sub-Saharan Africa,181089.61510256003,99.97,0.03,53.5,56551.56,84220.35,6.96,Medium,Medium,Medium-High,31.96,True,,
Nigeria,2020,206139.5938,51.95800018,77.60905338,4.979399343,11.79691148,5.614635794,61.65821003,7.128924583,20.92487535,10.28799004,92.35770519,2.99188065,3.356908786,1.29350537,Sub-Saharan Africa,206087.63579982,99.97,0.03,61.67,46156.61,79017.69,3.97,Medium-High,Medium,High,30.7,True,68.77975546,8.83
Rwanda,2015,11369.06641,17.00399971,57.12177402,22.15404615,13.45013172,7.27404811,52.35270956,24.60883866,14.98060354,8.057848241,80.39943738,10.17228262,5.979935166,3.448344828,Sub-Saharan Africa,11352.06241029,99.85,0.15,52.39,4874.85,5408.95,3.33,Medium,Medium,Medium-High,28.05,True,,
Rwanda,2020,12952.20898,17.43200111,60.41450115,22.3207193,13.15480415,4.109975401,55.64246823,25.08014133,14.77886772,4.498522714,83.0175993,9.250506251,5.462303057,2.269591394,Sub-Saharan Africa,12934.77697889,99.87,0.13,55.68,5127.2,5737.55,2.96,Medium,Medium,Medium-High,27.38,True,57.12177402,3.29
Réunion,2015,863.3590088,99.33900452,99.91153019,0.0,0.0884698141,0.0,,,,,,,,,Sub-Saharan Africa,764.02000428,88.49,11.51,,0.76,,,Universal,Unknown,Unknown,,False,,
Réunion,2020,895.3079834,99.65900421,100.0,0.0,0.0,0.0,,,,,,,,,Sub-Saharan Africa,795.64897919,88.87,11.13,,0.0,,,Universal,Unknown,Unknown,,False,99.91153019,0.09
Saint Helena,2015,5.868999958,39.5399971,98.95,0.0,1.05,0.0,,,,,,,,,Sub-Saharan Africa,-33.670997142000004,-573.71,673.71,,0.06,,,High,Unknown,Unknown,,False,,
Saint Helena,2020,6.071000099,40.08200073,99.1,0.0,0.9,0.0,,,,,,,,,Sub-Saharan Africa,-34.011000630999995,-560.22,660.22,,0.05,,,Universal,Unknown,Unknown,,False,98.95,0.15
